2019-04-02 18:36:05,547 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 18:36:05,556 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 18:36:06,635 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 18:36:06,642 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 18:36:06,649 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 18:36:07,652 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 18:36:07,654 : INFO : setting ignored attribute cum_table to None
2019-04-02 18:36:07,655 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 18:36:10,654 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 18:36:10,656 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 18:36:15,729 : INFO : EPOCH 1 - PROGRESS: at 0.02% examples, 1771 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:17,451 : INFO : EPOCH 1 - PROGRESS: at 0.12% examples, 5697 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:36:21,268 : INFO : EPOCH 1 - PROGRESS: at 0.40% examples, 17427 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:22,870 : INFO : EPOCH 1 - PROGRESS: at 0.79% examples, 26761 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:24,005 : INFO : EPOCH 1 - PROGRESS: at 1.12% examples, 32300 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:25,298 : INFO : EPOCH 1 - PROGRESS: at 1.23% examples, 31815 words/s, in_qsize 0, out_qsize 1
2019-04-02 18:36:26,820 : INFO : EPOCH 1 - PROGRESS: at 1.43% examples, 33196 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:28,511 : INFO : EPOCH 1 - PROGRESS: at 1.61% examples, 33775 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:36:29,542 : INFO : EPOCH 1 - PROGRESS: at 1.83% examples, 37324 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:30,685 : INFO : EPOCH 1 - PROGRESS: at 1.97% examples, 38546 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:31,875 : INFO : EPOCH 1 - PROGRESS: at 2.02% examples, 37195 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:36:33,018 : INFO : EPOCH 1 - PROGRESS: at 2.28% examples, 39369 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:35,015 : INFO : EPOCH 1 - PROGRESS: at 2.48% examples, 38104 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:36,581 : INFO : EPOCH 1 - PROGRESS: at 3.01% examples, 39637 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:37,997 : INFO : EPOCH 1 - PROGRESS: at 3.20% examples, 39084 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:39,320 : INFO : EPOCH 1 - PROGRESS: at 3.66% examples, 40173 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:40,798 : INFO : EPOCH 1 - PROGRESS: at 4.17% examples, 41240 words/s, in_qsize 0, out_qsize 1
2019-04-02 18:36:42,873 : INFO : EPOCH 1 - PROGRESS: at 4.47% examples, 40948 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:43,890 : INFO : EPOCH 1 - PROGRESS: at 4.51% examples, 40582 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:45,508 : INFO : EPOCH 1 - PROGRESS: at 4.53% examples, 39144 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:48,561 : INFO : EPOCH 1 - PROGRESS: at 4.68% examples, 40103 words/s, in_qsize 1, out_qsize 0
2019-04-02 18:36:50,071 : INFO : EPOCH 1 - PROGRESS: at 4.78% examples, 41111 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:52,084 : INFO : EPOCH 1 - PROGRESS: at 4.85% examples, 41024 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:54,389 : INFO : EPOCH 1 - PROGRESS: at 4.91% examples, 39678 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:57,229 : INFO : EPOCH 1 - PROGRESS: at 4.97% examples, 37946 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:36:58,989 : INFO : EPOCH 1 - PROGRESS: at 5.07% examples, 38777 words/s, in_qsize 2, out_qsize 0
2019-04-02 18:37:00,173 : INFO : EPOCH 1 - PROGRESS: at 5.20% examples, 41181 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:01,667 : INFO : EPOCH 1 - PROGRESS: at 5.22% examples, 40158 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:02,832 : INFO : EPOCH 1 - PROGRESS: at 5.32% examples, 41168 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:03,878 : INFO : EPOCH 1 - PROGRESS: at 5.33% examples, 40659 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:06,150 : INFO : EPOCH 1 - PROGRESS: at 5.36% examples, 39343 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:10,300 : INFO : EPOCH 1 - PROGRESS: at 5.49% examples, 38439 words/s, in_qsize 1, out_qsize 2
2019-04-02 18:37:11,293 : INFO : EPOCH 1 - PROGRESS: at 5.63% examples, 39975 words/s, in_qsize 2, out_qsize 2
2019-04-02 18:37:12,985 : INFO : EPOCH 1 - PROGRESS: at 5.77% examples, 40949 words/s, in_qsize 0, out_qsize 0
