2019-04-02 22:59:50,211 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 22:59:50,220 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 22:59:51,319 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 22:59:51,333 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 22:59:51,336 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 22:59:52,357 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 22:59:52,359 : INFO : setting ignored attribute cum_table to None
2019-04-02 22:59:52,360 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 22:59:55,391 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 22:59:55,393 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 23:00:03,383 : INFO : EPOCH 1 - PROGRESS: at 0.02% examples, 1118 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:04,804 : INFO : EPOCH 1 - PROGRESS: at 0.07% examples, 4386 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:06,603 : INFO : EPOCH 1 - PROGRESS: at 0.16% examples, 9011 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:08,887 : INFO : EPOCH 1 - PROGRESS: at 0.20% examples, 9183 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:10,201 : INFO : EPOCH 1 - PROGRESS: at 0.45% examples, 16611 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:11,225 : INFO : EPOCH 1 - PROGRESS: at 0.48% examples, 17154 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:13,092 : INFO : EPOCH 1 - PROGRESS: at 0.60% examples, 18825 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:14,765 : INFO : EPOCH 1 - PROGRESS: at 0.68% examples, 19488 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:16,505 : INFO : EPOCH 1 - PROGRESS: at 0.80% examples, 21839 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:18,906 : INFO : EPOCH 1 - PROGRESS: at 0.88% examples, 21929 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:20,453 : INFO : EPOCH 1 - PROGRESS: at 1.05% examples, 26109 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:21,775 : INFO : EPOCH 1 - PROGRESS: at 1.11% examples, 25771 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:25,128 : INFO : EPOCH 1 - PROGRESS: at 1.19% examples, 23943 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:26,299 : INFO : EPOCH 1 - PROGRESS: at 1.34% examples, 26153 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:27,728 : INFO : EPOCH 1 - PROGRESS: at 1.40% examples, 26049 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:29,846 : INFO : EPOCH 1 - PROGRESS: at 1.53% examples, 26640 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:31,836 : INFO : EPOCH 1 - PROGRESS: at 1.74% examples, 28183 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:33,102 : INFO : EPOCH 1 - PROGRESS: at 1.75% examples, 27499 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:36,126 : INFO : EPOCH 1 - PROGRESS: at 1.97% examples, 27701 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:37,543 : INFO : EPOCH 1 - PROGRESS: at 2.16% examples, 30111 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:40,031 : INFO : EPOCH 1 - PROGRESS: at 2.17% examples, 28752 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:41,443 : INFO : EPOCH 1 - PROGRESS: at 2.40% examples, 31241 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:43,193 : INFO : EPOCH 1 - PROGRESS: at 2.44% examples, 30578 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:45,519 : INFO : EPOCH 1 - PROGRESS: at 2.61% examples, 31760 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:46,572 : INFO : EPOCH 1 - PROGRESS: at 2.71% examples, 32375 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:48,471 : INFO : EPOCH 1 - PROGRESS: at 2.83% examples, 32954 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:49,805 : INFO : EPOCH 1 - PROGRESS: at 2.91% examples, 33130 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:51,294 : INFO : EPOCH 1 - PROGRESS: at 3.02% examples, 33556 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:52,295 : INFO : EPOCH 1 - PROGRESS: at 3.16% examples, 34335 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:53,679 : INFO : EPOCH 1 - PROGRESS: at 3.24% examples, 34242 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:00:54,722 : INFO : EPOCH 1 - PROGRESS: at 3.32% examples, 34616 words/s, in_qsize 0, out_qsize 0
