2019-03-31 21:22:50,678 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2019-03-31 21:28:59,381 : INFO : PROGRESS: at sentence #10000, processed 21276586 words, keeping 552988 word types
2019-03-31 21:34:27,387 : INFO : PROGRESS: at sentence #20000, processed 39991911 words, keeping 814215 word types
2019-03-31 21:39:20,618 : INFO : PROGRESS: at sentence #30000, processed 55508518 words, keeping 1005642 word types
2019-03-31 21:43:54,023 : INFO : PROGRESS: at sentence #40000, processed 68725549 words, keeping 1174574 word types
2019-03-31 21:47:03,306 : INFO : PROGRESS: at sentence #50000, processed 78186601 words, keeping 1276212 word types
2019-03-31 21:48:38,892 : INFO : PROGRESS: at sentence #60000, processed 83639646 words, keeping 1303378 word types
2019-03-31 21:50:03,024 : INFO : PROGRESS: at sentence #70000, processed 88508149 words, keeping 1328620 word types
2019-03-31 21:50:55,827 : INFO : finished iterating over Wikipedia corpus of 76767 documents with 91436297 positions (total 100000 articles, 91561364 positions before pruning articles shorter than 50 words)
2019-03-31 21:50:56,031 : INFO : collected 1343016 word types from a corpus of 91436297 raw words and 76767 sentences
2019-03-31 21:50:56,032 : INFO : Loading a fresh vocabulary
2019-03-31 21:51:00,687 : INFO : effective_min_count=1 retains 1343016 unique words (100% of original 1343016, drops 0)
2019-03-31 21:51:00,689 : INFO : effective_min_count=1 leaves 91436297 word corpus (100% of original 91436297, drops 0)
2019-03-31 21:51:04,450 : INFO : deleting the raw counts dictionary of 1343016 items
2019-03-31 21:51:04,486 : INFO : sample=0.001 downsamples 13 most-common words
2019-03-31 21:51:04,487 : INFO : downsampling leaves estimated 86039873 word corpus (94.1% of prior 91436297)
2019-03-31 21:51:09,549 : INFO : estimated required memory for 1343016 words and 300 dimensions: 3894746400 bytes
2019-03-31 21:51:09,552 : INFO : resetting layer weights
2019-03-31 21:51:26,392 : INFO : training model with 32 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-03-31 21:51:34,367 : INFO : EPOCH 1 - PROGRESS: at 0.00% examples, 816 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:35,672 : INFO : EPOCH 1 - PROGRESS: at 0.01% examples, 4288 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:36,782 : INFO : EPOCH 1 - PROGRESS: at 0.04% examples, 8606 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:38,579 : INFO : EPOCH 1 - PROGRESS: at 0.12% examples, 20926 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:39,725 : INFO : EPOCH 1 - PROGRESS: at 0.13% examples, 20950 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:43,024 : INFO : EPOCH 1 - PROGRESS: at 0.24% examples, 29564 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:44,491 : INFO : EPOCH 1 - PROGRESS: at 0.25% examples, 27942 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:48,791 : INFO : EPOCH 1 - PROGRESS: at 0.32% examples, 26981 words/s, in_qsize 2, out_qsize 0
2019-03-31 21:51:50,277 : INFO : EPOCH 1 - PROGRESS: at 0.43% examples, 34412 words/s, in_qsize 0, out_qsize 1
2019-03-31 21:51:52,027 : INFO : EPOCH 1 - PROGRESS: at 0.54% examples, 37579 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:54,394 : INFO : EPOCH 1 - PROGRESS: at 0.55% examples, 34725 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:51:55,520 : INFO : EPOCH 1 - PROGRESS: at 0.60% examples, 36003 words/s, in_qsize 0, out_qsize 1
2019-03-31 21:51:57,421 : INFO : EPOCH 1 - PROGRESS: at 0.68% examples, 35980 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:00,424 : INFO : EPOCH 1 - PROGRESS: at 0.85% examples, 38620 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:01,446 : INFO : EPOCH 1 - PROGRESS: at 0.87% examples, 38330 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:03,061 : INFO : EPOCH 1 - PROGRESS: at 0.88% examples, 36714 words/s, in_qsize 1, out_qsize 0
